country,happiness,log_gdp,freedom,pop_size
Finland,7.741,1.844,0.859,0
Denmark,7.583,1.908,0.823,0
Iceland,7.525,1.881,0.819,0
Sweden,7.344,1.878,0.838,1
Israel,7.341,1.803,0.641,1
Netherlands,7.319,1.901,0.725,1
Norway,7.302,1.952,0.835,0
Luxembourg,7.122,2.141,0.801,0
Switzerland,7.06,1.97,0.759,1
Australia,7.057,1.854,0.756,1
New Zealand,7.029,1.81,0.746,0
Costa Rica,6.955,1.561,0.797,0
Kuwait,6.951,1.845,0.827,0
Austria,6.905,1.885,0.703,1
Canada,6.9,1.84,0.73,1
Belgium,6.894,1.868,0.729,1
Ireland,6.838,2.129,0.758,0
Czechia,6.822,1.783,0.787,1
Lithuania,6.818,1.766,0.533,0
United Kingdom,6.749,1.822,0.713,1
Slovenia,6.743,1.786,0.789,0
United Arab Emirates,6.733,1.983,0.815,1
United States,6.725,1.939,0.586,1
Germany,6.719,1.871,0.7,1
Mexico,6.678,1.521,0.722,1
Uruguay,6.611,1.596,0.775,0
France,6.609,1.818,0.65,1
Saudi Arabia,6.594,1.842,0.787,1
Kosovo,6.561,1.364,0.739,0
Singapore,6.523,2.118,0.743,1
Taiwan,6.503,1.842,0.649,1
Romania,6.491,1.699,0.717,1
El Salvador,6.469,1.265,0.816,1
Estonia,6.448,1.752,0.805,0
Poland,6.442,1.738,0.6,1
Spain,6.421,1.766,0.619,1
Serbia,6.411,1.538,0.663,1
Chile,6.36,1.616,0.651,1
Panama,6.358,1.702,0.72,0
Malta,6.346,1.827,0.727,0
Italy,6.324,1.8,0.513,1
Guatemala,6.287,1.26,0.735,1
Nicaragua,6.284,1.097,0.793,1
Brazil,6.272,1.43,0.685,1
Slovakia,6.257,1.706,0.566,0
Latvia,6.234,1.7,0.666,0
Uzbekistan,6.195,1.212,0.835,1
Argentina,6.188,1.562,0.681,1
Kazakhstan,6.188,1.622,0.733,1
Cyprus,6.068,1.794,0.529,0
Japan,6.06,1.786,0.632,1
South Korea,6.058,1.815,0.555,1
Philippines,6.048,1.232,0.826,1
Vietnam,6.043,1.331,0.843,1
Portugal,6.03,1.728,0.757,1
Hungary,6.017,1.722,0.581,1
Paraguay,5.977,1.398,0.788,1
Thailand,5.976,1.484,0.756,1
Malaysia,5.975,1.646,0.829,1
China,5.973,1.497,0.704,1
Honduras,5.968,1.091,0.72,1
Croatia,5.942,1.71,0.469,0
Greece,5.934,1.684,0.337,1
Bosnia and Herzegovina,5.877,1.465,0.621,0
Libya,5.866,1.526,0.592,1
Jamaica,5.842,1.28,0.647,0
Peru,5.841,1.371,0.615,1
Dominican Republic,5.823,1.517,0.73,1
Mauritius,5.816,1.57,0.641,0
Moldova,5.816,1.385,0.695,0
Russia,5.785,1.642,0.551,1
Bolivia,5.784,1.217,0.719,1
Ecuador,5.725,1.315,0.606,1
Kyrgyzstan,5.714,1.054,0.834,1
Montenegro,5.707,1.571,0.632,0
Mongolia,5.696,1.353,0.501,0
Colombia,5.695,1.437,0.644,1
Venezuela,5.607,1.24,0.518,1
Indonesia,5.568,1.361,0.779,1
Bulgaria,5.463,1.629,0.62,1
Armenia,5.455,1.444,0.65,0
South Africa,5.422,1.389,0.537,1
North Macedonia,5.369,1.475,0.58,0
Algeria,5.364,1.324,0.247,1
Hong Kong,5.316,1.909,0.485,1
Albania,5.304,1.438,0.69,0
Mozambique,5.216,0.56,0.728,1
Georgia,5.185,1.467,0.68,0
Iraq,5.166,1.249,0.425,1
Nepal,5.158,0.965,0.653,1
Laos,5.139,1.208,0.796,1
Gabon,5.106,1.403,0.516,0
Ivory Coast,5.08,1.08,0.547,1
Guinea,5.023,0.831,0.521,1
Turkiye,4.975,1.702,0.202,1
Senegal,4.969,0.927,0.607,1
Iran,4.923,1.435,0.366,1
Azerbaijan,4.893,1.433,0.668,1
Nigeria,4.881,1.042,0.566,1
Cameroon,4.874,0.943,0.521,1
Ukraine,4.873,1.35,0.631,1
Namibia,4.832,1.266,0.47,0
Morocco,4.795,1.213,0.631,1
Pakistan,4.657,1.069,0.542,1
Niger,4.556,0.573,0.615,1
Burkina Faso,4.548,0.756,0.483,1
Mauritania,4.505,1.078,0.343,0
Gambia,4.485,0.75,0.459,0
Chad,4.471,0.603,0.411,1
Kenya,4.47,1.037,0.519,1
Tunisia,4.422,1.306,0.254,1
Benin,4.377,0.914,0.567,1
Uganda,4.372,0.772,0.587,1
Myanmar,4.354,0.978,0.45,1
Cambodia,4.341,1.011,0.863,1
Ghana,4.289,1.077,0.623,1
Liberia,4.269,0.619,0.546,0
Mali,4.232,0.747,0.586,1
Madagascar,4.228,0.628,0.25,1
Togo,4.214,0.758,0.453,1
Jordan,4.186,1.262,0.593,1
India,4.054,1.166,0.767,1
Egypt,3.977,1.37,0.49,1
Sri Lanka,3.898,1.361,0.583,1
Bangladesh,3.886,1.122,0.775,1
Ethiopia,3.861,0.792,0.441,1
Tanzania,3.781,0.82,0.709,1
Comoros,3.566,0.896,0.172,0
Yemen,3.561,0.671,0.362,1
Zambia,3.502,0.899,0.727,1
Eswatini,3.502,1.255,0.284,0
Malawi,3.421,0.617,0.571,1
Botswana,3.383,1.445,0.567,0
Zimbabwe,3.341,0.748,0.487,1
Sierra Leone,3.245,0.654,0.469,1
Lesotho,3.186,0.771,0.523,0
Lebanon,2.707,1.377,0.173,0
Afghanistan,1.721,0.628,0,1
